key,rmsd
3pyy,4.879841860923201
3bv9,4.800172525768222
1w4o,1.150506918389436
4ddh,2.393110961344354
3g2z,2.113438267842823
1y6r,1.452342400664302
4ivd,1.2417973896442998
4w9i,2.3924963929873853
1yc1,2.1136311298572905
3qgy,4.278626924387098
3cj4,4.006318003500486
1ydr,1.5099237515957658
4ddk,1.981759166617291
3g31,4.8687022941546925
1ydt,1.8279919401179934
4j21,1.3473530772581195
4w9l,1.9914835091526206
1z6e,1.7253622299419071
3qqs,4.1904528436482
3coy,0.9701708193728068
1z95,2.4064546216083986
4de2,3.7761503165721395
4de1,1.8657053951979916
3gbb,0.9856841084889787
1z9g,2.3372723479958717
3k5v,3.160925568934203
4j28,0.8149894686884319
4wiv,4.1921699387324685
2al5,0.33613627595777007
3uex,3.3186993687650537
3r88,1.892134147508139
3coz,1.2692599415499617
2br1,2.485405024588358
4de3,1.767818709496121
4j3l,2.3017291226485024
3gc5,0.6447854298804669
2brb,1.7465230025162852
3kgp,1.5935049200775209
3rlr,2.222323036467742
4x6p,1.3654801831937697
2c3i,4.615554093533803
3ui7,4.245957194220654
4jfs,2.322234725157381
3d4z,0.866167281970504
2cbv,2.452508198120508
4djv,1.3522098116557384
3rr4,2.4282269389562616
3ge7,1.346312676833005
2cet,1.3056843054435547
3kr8,1.0186151941128452
4jia,1.993300000824036
5a7b,3.1434192401181655
2fvd,1.8328692829029423
3uo4,3.271585945777262
3rsx,2.9037939963945196
3d6q,1.862286889301146
2fxs,4.129125818146593
4dld,2.5537539950056063
4jsz,6.710849268598185
3gnw,5.801038741997957
2hb1,1.4025965581849367
3kwa,4.129838541083009
3ryj,1.6243388686558535
5aba,3.621733831747828
2iwx,1.9170074783916489
3up2,2.753460629179236
4jxs,2.038755252148068
3dd0,1.318510588630288
2j78,0.5855753482118766
4dli,1.9297405529814058
3l7b,0.7179498284241295
3syr,0.3348504864874073
4k18,4.040871155624129
3gr2,4.078146643380185
5c28,2.8175559331908047
2j7h,0.8556855226527228
2p15,3.0905701623637434
3uri,5.07332255407534
3tsk,3.872943068952146
3dx1,2.3690661793880285
2p4y,2.5287897322002233
4e5w,2.4590788635893857
4k77,1.7419290958336404
3gv9,2.2229151180163544
2pog,4.194695929149209
3lka,1.8273762676702057
3twp,3.5765255799834046
5c2h,3.225548387988172
2qe4,3.431165245072776
5dwr,1.2286387625608215
3mss,5.986706451848453
3uuo,2.338024387536326
3dxg,2.1519518107706794
3u8k,6.127728286887901
2qnq,5.292330067557269
4ea2,3.4203407056438153
4kzu,1.1570222247751119
2qbp,6.751472822531405
3myg,2.6674424914096853
5tmn,1.4605495162534146
3u8n,5.78692547285711
3utu,3.846306335425543
3wtj,5.264978367023342
2v00,1.3789328917937431
3ivg,1.9801164164313192
4kz6,1.8123897790070973
3e5a,5.220981493396304
2v7a,2.564806553580336
3dx2,1.357958957929573
3u9q,4.3171297314871495
4e6q,1.3071555855039505
2qbq,6.894101566273167
2vkm,2.1126802217489282
3u5j,2.28302242483193
3n76,2.9711465116152107
2qbr,1.9368018111992271
3gy4,1.584238262499291
4kzq,1.1545654088799127
2r9w,2.4685463021929017
4llx,2.746534732548945
3jvr,6.380267197314511
4eky,0.807813042345879
4lzs,3.69378277328092
3e92,3.685816819373283
3wz8,7.076808048130453
3udh,2.041480775503576
2vvn,0.8426095593005434
3jvs,8.169795447936481
2vw5,2.137793641074252
4eo8,3.247921076814435
4m0y,1.7480425523288379
2ymd,2.856480528929901
2w4x,1.6366923378556715
3n7a,1.9026502996716086
3ueu,2.181930976612773
2zcq,3.2933861961456015
2w66,1.278576723379739
3zdg,2.3879998155909767
4m0z,1.9855605875175888
2zda,1.0213245877299164
2wbg,1.9566067117314314
4eor,0.6889599896334462
3uev,2.002045293125478
3acw,1.9176847102727532
2wca,2.362530870154585
3n86,3.497726334754497
4mgd,3.598791656425204
3e93,2.6010341986042635
2weg,1.4060521260653052
3zso,4.708886763613249
3uew,2.1907554807409504
3jya,1.1789563950819502
2wer,1.5027539023167562
4f09,1.4324375535512923
4mme,1.3538648249141736
1a30,5.219145860838633
2wn9,4.414664489641944
3nq9,1.3679319569775765
3ao4,5.300758110059401
1bcu,3.090541600308242
2wnc,3.457801988794645
3zsx,3.93730428774419
3ehy,1.7274569102182777
1bzc,4.351349007148176
2wtv,1.9038838924449601
4f2w,1.6648449154300697
4ogj,4.425639366011867
