train_mae_step,epoch,step,train_mae_epoch,train_loss
0.8172625454458956,0,49,,
1.1837805125330687,0,99,,
1.291929057234673,0,149,,
0.8202360155406433,0,199,,
1.0021983812537454,0,249,,
0.8339822043052729,0,299,,
0.7300226820858663,0,349,,
0.8068898665023997,0,399,,
0.8052803428651021,0,449,,
0.8505361990432154,0,499,,
1.3518341946612242,0,549,,
0.7727141484361434,0,599,,
1.1476617382117213,0,649,,
1.02082820811445,0,699,,
0.8044103840296021,0,749,,
1.510037037390332,0,799,,
1.0089621883499114,0,849,,
0.8866996322406376,0,899,,
0.507633928861232,0,949,,
1.1298351528891035,0,999,,
0.8483274043763976,0,1049,,
0.8199643870794193,0,1099,,
0.7542118878598856,0,1149,,
0.9287132680715224,0,1199,,
0.852971690942313,0,1249,,
1.3416724950073202,0,1299,,
1.2848886622517057,0,1349,,
1.3808741760397891,0,1399,,
1.210899267844009,0,1449,,
,0,1459,1.177281141281128,0.8382800318573715
0.8925478557750519,1,1499,,
1.0114999074023225,1,1549,,
0.6788971956206244,1,1599,,
0.9746860598506049,1,1649,,
0.6448030664157544,1,1699,,
1.723108631199386,1,1749,,
2.034681218927735,1,1799,,
0.6089779289571303,1,1849,,
1.3560072250674247,1,1899,,
0.902049113206029,1,1949,,
0.6684405080508774,1,1999,,
0.9383810751232117,1,2049,,
0.8422226241120956,1,2099,,
0.7862524271146718,1,2149,,
1.6681131664676732,1,2199,,
0.9981226237587391,1,2249,,
0.8891204268574018,1,2299,,
1.4497751790689513,1,2349,,
1.2081440869437305,1,2399,,
3.273842739808642,1,2449,,
1.1412736715215164,1,2499,,
1.8675915372506702,1,2549,,
1.6265879154068936,1,2599,,
0.9135019099365377,1,2649,,
1.0012009994505358,1,2699,,
0.717738562555699,1,2749,,
1.4937971001139303,1,2799,,
1.3686325101694734,1,2849,,
3.791950737512931,1,2899,,
,1,2919,1.1437864303588867,0.7936668384650839
1.2644967303928156,2,2949,,
0.6570373623226645,2,2999,,
0.5130150533523782,2,3049,,
0.7373438412321556,2,3099,,
0.7619261310501645,2,3149,,
1.0941162318242794,2,3199,,
0.9703214238878237,2,3249,,
0.6289618320483499,2,3299,,
